metric,estimate,ci_low,ci_high,bootstrap_iterations
roc_auc,0.8014019578604674,0.7941659704332715,0.8086760583770352,500
average_precision,0.7865159310600599,0.7765396673734063,0.795976812891409,500
balanced_accuracy,0.7349021622048411,0.7278572871371864,0.7428770424721293,500
sensitivity,0.7028612303290415,0.6921995708154506,0.712950643776824,500
specificity,0.7669430940806405,0.7572883900486131,0.7773126965970832,500
brier,0.1805791453497668,0.17712384262783326,0.18406669293833627,500
log_loss,0.5411899077910536,0.5329784247742574,0.5495658605222548,500
ece_10,0.002561999440421435,0.004545689318813121,0.013169505309272772,500
