group,n,prevalence,roc_auc,balanced_accuracy,brier,ece_10,selective_coverage,selective_n,selective_error_rate
gender_1,9154,0.5019663535066637,0.8051283844437374,0.7375125455847775,0.17902583952482606,0.008193537715274585,0.8066419051780642,7384,0.21912242686890573
gender_2,4830,0.49585921325051757,0.7943591414351425,0.7299777513900023,0.1835230297227496,0.012568853120743833,0.8039337474120083,3883,0.2237960339943343
age_under_50,4367,0.3682161667048317,0.8274904022836164,0.7519059063147474,0.1514862051599301,0.010262533151343428,0.9054270666361346,3954,0.17905918057663125
age_50_to_59,7079,0.5184348071761549,0.7668850606225066,0.7117151825229417,0.19457693995085756,0.007619872622505442,0.7999717474219522,5663,0.2516334098534346
age_60_plus,2538,0.6745468873128447,0.710223094068928,0.6068005928809033,0.19159509563656532,0.009326210204314737,0.6501182033096927,1650,0.21454545454545454
