outcome,n,target_prevalence,mean_probability,age_years_mean,bmi_mean,systolic_bp_mean,diastolic_bp_mean,cholesterol_mean,glucose_mean
false_negative,2077,1.0,0.3238540736410898,52.64547501612294,26.53427039156527,117.56639304683728,77.2892322549493,1.177660086663457,1.1550312951372173
false_positive,1630,0.0,0.6928453431952308,56.4880697732035,29.023379217813954,133.2407643312102,84.98980891719745,1.5730061349693252,1.3901840490797546
true_negative,5364,0.0,0.2598240972767817,50.17094672777321,25.692138112074584,115.48973497573722,76.21593878312804,1.110365398956003,1.1183818046234153
true_positive,4913,1.0,0.7717756135661867,55.80590850267621,29.304144522652585,140.79746031746032,87.565291005291,1.6753511093018523,1.3321799307958477
